BENCH_ID,EMPLOYEE_ID,BENCH_START_DATE,BENCH_END_DATE,LAST_PROJECT,LAST_CLIENT,BENCH_REASON,AVAILABILITY_STATUS,PREFERRED_ROLE,BENCH_DURATION_DAYS,REMARKS,CREATED_AT
152,1165,2026-03-08,,ML Pipeline,Acme Corp,Skill Gap - Upskilling,Upskilling - Limited Availability,QA Lead,66,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
153,1189,2026-01-05,2026-03-25,ETL Modernization,TechNova Inc,Client Budget Cut,Upskilling - Limited Availability,Project Manager,86,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
154,1189,2026-02-23,,Data Warehouse Redesign,HealthTech Solutions,Project Delayed,Upskilling - Limited Availability,Data Analyst,34,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
155,1453,2025-12-30,,Snowflake Migration,AutoDrive Inc,Skill Gap - Upskilling,Upskilling - Limited Availability,Full Stack Developer,50,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
156,1477,2026-01-24,2026-03-28,Data Lake Build,AutoDrive Inc,Project Delayed,Available in 1 Week,QA Lead,83,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
157,1477,2026-02-07,,API Integration,MediaStream,Project Delayed,Available in 1 Week,Project Manager,68,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
158,1019,2026-03-01,,Data Lake Build,TechNova Inc,Project Delayed,Immediately Available,Data Analyst,13,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
159,1107,2026-02-27,,Cost Optimization,InsurePro,Skill Gap - Upskilling,Immediately Available,QA Lead,87,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
160,1179,2026-02-08,,Data Governance Setup,EduSpark,Client Onboarding Pending,Available in 2 Weeks,QA Lead,63,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
161,1315,2026-01-09,,Snowflake Migration,Acme Corp,Between Assignments,In Interview Pipeline,Full Stack Developer,52,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
162,1363,2026-02-28,,Data Lake Build,MediaStream,Project Completed,Available in 1 Week,ML Engineer,41,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
163,1379,2026-01-07,,Platform Upgrade,Acme Corp,Redeployment in Progress,In Interview Pipeline,Solution Architect,17,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
164,1427,2026-01-18,2026-04-03,Dashboard Development,MediaStream,Internal Transfer,Upskilling - Limited Availability,Solution Architect,64,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
165,1483,2026-01-03,,ETL Modernization,EnergyOne,Project Ramp Down,Available in 1 Week,BI Developer,89,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
166,1483,2025-12-22,,Dashboard Development,Acme Corp,Project Completed,Available in 2 Weeks,Data Engineer,89,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
167,1016,2026-02-13,,Reporting Automation,FoodChain Co,Visa Processing,Available in 2 Weeks,QA Lead,33,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
168,1040,2025-12-20,,ML Pipeline,CloudScale,Client Budget Cut,In Interview Pipeline,Data Analyst,68,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
169,1128,2026-01-18,,ML Pipeline,FinServ Global,Client Budget Cut,Upskilling - Limited Availability,QA Lead,50,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
170,1128,2026-02-21,,Data Warehouse Redesign,BankRight,Redeployment in Progress,Available in 1 Week,Project Manager,83,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
171,1296,2026-01-24,2026-04-11,Data Lake Build,TechNova Inc,Client Onboarding Pending,In Interview Pipeline,DevOps Engineer,63,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
172,1296,2026-02-05,,Cost Optimization,FoodChain Co,Project Completed,Available in 2 Weeks,QA Lead,75,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
173,1472,2026-02-27,,Security Audit,InsurePro,Project Completed,Available in 1 Week,Cloud Architect,84,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
174,1058,2026-02-26,,Data Governance Setup,BankRight,Project Ramp Down,Available in 1 Week,Solution Architect,65,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
176,1194,2026-02-18,,POC Development,RetailMax,Client Budget Cut,Available in 1 Week,Data Engineer,79,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
177,1250,2026-01-21,,Cost Optimization,RetailMax,Client Onboarding Pending,Available in 2 Weeks,Solution Architect,27,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
178,1290,2026-01-26,2026-04-10,Data Governance Setup,FinServ Global,Client Budget Cut,Available in 2 Weeks,ML Engineer,7,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
179,1298,2026-01-29,,Dashboard Development,Acme Corp,Redeployment in Progress,Immediately Available,Cloud Architect,18,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
180,1298,2026-01-04,2026-04-06,Security Audit,AutoDrive Inc,Between Assignments,Immediately Available,QA Lead,45,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
181,1322,2025-12-22,,Data Lake Build,TravelEase,Client Budget Cut,Upskilling - Limited Availability,Solution Architect,42,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
182,1322,2025-12-26,,Snowflake Migration,FoodChain Co,Project Completed,Immediately Available,Cloud Architect,38,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
183,1322,2026-01-01,2026-03-28,Real-time Analytics,InsurePro,Redeployment in Progress,In Interview Pipeline,Data Analyst,12,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
184,1330,2026-01-08,,ML Pipeline,MediaStream,Visa Processing,In Interview Pipeline,BI Developer,88,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
185,1338,2026-01-22,2026-04-09,Data Warehouse Redesign,EduSpark,Client Onboarding Pending,Available in 2 Weeks,Full Stack Developer,73,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
186,1418,2026-03-12,2026-03-26,Security Audit,BankRight,Project Delayed,Immediately Available,Data Engineer,60,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
1101,1516,2026-02-15,,AI Chatbot Platform,EduSpark,Project Completed,Immediately Available,Solutions Architect,34,Available for new architecture engagement,2026-03-21 04:06:27.369
1102,1518,2026-03-01,2026-03-23,BI Dashboard Suite,MediaStream,Between Assignments,Immediately Available,Solutions Architect,20,Ready for new data science architecture role,2026-03-21 04:06:27.369
1103,1522,2026-02-20,,NLP Analytics Engine,InsurePro,Project Completed,Immediately Available,Principal Architect,29,Seeking strategic architecture engagement,2026-03-21 04:06:27.369
1201,1528,2026-02-25,,AI Chatbot Platform,EduSpark,Project Completed,Immediately Available,Project Manager,24,Available for new PM engagement,2026-03-21 06:44:57.933
138,1260,2026-01-10,2026-03-23,Reporting Automation,DataFirst LLC,Project Ramp Down,Upskilling - Limited Availability,DevOps Engineer,82,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
1202,1530,2026-03-05,2026-03-23,MLOps Pipeline,CloudScale,Between Assignments,Immediately Available,Sr. Project Manager,16,Seeking strategic program management role,2026-03-21 06:44:57.933
175,1122,2026-02-02,2026-03-23,Data Governance Setup,DataFirst LLC,Visa Processing,Available in 1 Week,Data Analyst,25,"Employee on bench, actively looking for new assignment",2026-03-20 06:58:02.460
1301,1004,2026-03-10,2026-03-23,Analytics Migration,FinServe,Project Completed,Available,Data Modeller,13,Available for data modelling engagements,2026-03-23 01:58:43.064
